Symbol;Name;Sector
ZEF.F;Zhongde Waste Technology Ag;Waste Management
MLDUR.PA;DRDGOLD Limited;Gold
T9Z.F;Zumtobel Group AG;Electronics Wholesale
ZIL2.F;ElringKlinger AG;Auto Parts
ZO1.F;zooplus AG;Food - Major Diversified
ZAR.F;Renk Aktiengesellschaft;Diversified Machinery
ARL.F;Aareal Bank AG;Money Center Banks
AAD.F;Amadeus FiRe AG;Staffing & Outsourcing Services
AAQ.F;AAP Implantate AG;Medical Appliances & Equipment
ABJ.F;ABB Ltd;Diversified Machinery
ABCA.PA;ABC Arbitrage SA;Asset Management
ABBV.PA;AbbVie Inc.;Drug Manufacturers - Major
AB.PA;AB Science S.A.;Drug Manufacturers - Major
ABL.F;Abbott Laboratories;Medical Appliances & Equipment
ABR.F;Barrick Gold Corporation;Gold
ABJA.F;ABB Ltd;Diversified Machinery
AB1.F;Air Berlin PLC;Major Airlines
MLACP.PA;Acep France;Medical Instruments & Supplies
CIB.PA;Cibox Inter@ctive;Computer Based Systems
ACR.DE;Accor SA;Lodging
ACAN.PA;Acanthe Developpement;REIT - Office
ACWN.F;A.S. Création Tapeten AG;Home Furnishings & Fixtures
E7S.F;Accentro Real Estate AG;Real Estate Development
ACX.F;Bet-At-Home.com AG;Gaming Activities
MLLEO.PA;Léon Grosse Actualités;General Contractors
OCI1.F;ACS, Actividades de Construcción y Servicios, S.A.;General Contractors
ACR.F;Accor SA;Lodging
ACT.F;Actelion Ltd;Biotechnology
AJ3.F;Acciona, S.A.;General Contractors
ATI.PA;Actia Group;Diversified Electronics
ALP.PA;ADLPartner;Advertising Agencies
ALADM.PA;ADThink Media Societe Anonyme;Internet Information Providers
ADVI.PA;AdVini S.A.;Beverages - Brewers
ADS.F;Adidas AG;Textile - Apparel Footwear & Accessories
ADI1.F;Adecco Group AG;Staffing & Outsourcing Services
TNE2.F;Telefónica, S.A.;Wireless Communications
EDG.F;Gold Fields Limited;Gold
ADD.F;Adler Modemärkte AG;Apparel Stores
MUVB.F;Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft;Property & Casualty Insurance
RYS2.F;The Royal Bank of Scotland Group plc;Money Center Banks
ALVA.F;Allianz SE;Property & Casualty Insurance
R6C2.F;Royal Dutch Shell plc;Major Integrated Oil & Gas
INNA.F;ING Groep N.V.;Property & Casualty Insurance
BY6A.F;BYD Company Limited;Auto Manufacturers - Major
