"date" "anger" "anticipation" "disgust" "fear" "joy" "negative" "positive" "sadness" "surprise" "trust" "volume" "prix" "High" "Low" "Close" "VolumeB" "Adjusted" "prixj1" "liss_veille" "accr"
2022-07-01 130 211 80 170 154 318 490 117 105 270 10510 136.039993 139.039993 135.660004 138.929993 71051600 138.737274 NA 136.039993 0
2022-07-02 140 215 76 173 157 311 491 134 101 265 9328 NA NA NA NA NA NA NA 136.039993 0
2022-07-03 126 178 71 153 135 258 409 111 92 227 6330 NA NA NA NA NA NA NA 136.039993 0
2022-07-04 115 152 74 138 111 231 361 113 81 193 4955 NA NA NA NA NA NA 137.770004 136.039993 1.73001099999999
2022-07-05 119 161 79 159 132 265 385 105 86 203 5855 137.770004 141.610001 136.929993 141.559998 73353800 141.363632 141.350006 137.770004 3.58000200000001
2022-07-06 115 175 79 169 123 284 438 118 90 242 6049 141.350006 144.119995 141.080002 142.919998 74064300 142.721756 143.289993 141.350006 1.939987
2022-07-07 141 206 85 179 156 302 483 123 110 258 7064 143.289993 146.550003 143.279999 146.350006 66253700 146.147003 145.259995 143.289993 1.97000199999999
2022-07-08 136 191 84 174 150 297 474 128 108 265 6548 145.259995 147.550003 145 147.039993 64547800 146.836029 NA 145.259995 0
2022-07-09 128 201 83 171 160 305 500 129 106 276 7295 NA NA NA NA NA NA NA 145.259995 0
2022-07-10 120 178 72 144 141 260 416 117 87 224 6026 NA NA NA NA NA NA 145.669998 145.259995 0.410002999999989
2022-07-11 101 163 62 136 136 218 393 92 82 210 5372 145.669998 146.639999 143.779999 144.869995 63141600 144.669037 145.759995 145.669998 0.089997000000011
2022-07-12 136 178 75 172 142 292 455 117 98 236 8635 145.759995 148.449997 145.050003 145.860001 77588800 145.657669 142.990005 145.759995 -2.76999000000001
2022-07-13 128 203 80 165 148 292 481 126 109 267 8065 142.990005 146.449997 142.119995 145.490005 71185600 145.288193 144.080002 142.990005 1.08999700000001
2022-07-14 136 199 81 182 164 314 489 142 111 268 7556 144.080002 148.949997 143.25 148.470001 78140700 148.264053 149.779999 144.080002 5.699997
2022-07-15 127 187 79 168 132 305 457 125 91 270 7300 149.779999 150.860001 148.199997 150.169998 76259900 149.9617 NA 149.779999 0
2022-07-16 127 181 72 168 143 298 448 119 104 252 6136 NA NA NA NA NA NA NA 149.779999 0
2022-07-17 119 165 74 153 137 260 408 112 86 213 5367 NA NA NA NA NA NA 150.740005 149.779999 0.960005999999993
2022-07-18 124 171 74 157 123 257 383 108 87 216 5005 150.740005 151.570007 146.699997 147.070007 81420900 146.865997 147.919998 150.740005 -2.820007
2022-07-19 143 204 97 193 151 339 511 138 107 272 6126 147.919998 151.229996 146.910004 151 82982400 150.790543 151.119995 147.919998 3.199997
2022-07-20 144 208 98 195 153 327 501 133 105 269 6847 151.119995 153.720001 150.369995 153.039993 64823400 152.827713 154.5 151.119995 3.38000500000001
2022-07-21 133 202 92 180 144 321 501 135 101 279 6999 154.5 155.570007 151.940002 155.350006 65086600 155.134521 155.389999 154.5 0.889998999999989
2022-07-22 148 197 95 175 144 313 485 126 100 253 6606 155.389999 156.279999 153.410004 154.089996 66675400 153.876251 NA 155.389999 0
2022-07-23 130 185 93 182 147 312 475 128 104 256 6213 NA NA NA NA NA NA NA 155.389999 0
